Date,Open,High,Low,Close,Adj Close,Volume
2013-06-14,0.431550,0.431550,0.431550,0.431550,0.431550,407830
2013-06-17,0.431550,0.431550,0.431550,0.431550,0.431550,0
2013-06-18,0.431550,0.431550,0.431550,0.431550,0.431550,7647
2013-06-19,0.431550,0.431550,0.431550,0.431550,0.431550,163132
2013-06-20,0.431550,0.431550,0.431550,0.431550,0.431550,19117
2013-06-21,0.431550,0.431550,0.431550,0.431550,0.431550,277834
2013-06-24,0.431550,0.431550,0.431550,0.431550,0.431550,18480
2013-06-25,0.431550,0.441360,0.431550,0.441360,0.441360,32626
2013-06-26,0.431550,0.431550,0.431550,0.431550,0.431550,31535
2013-06-27,0.431550,0.431550,0.431550,0.431550,0.431550,35884
2013-06-28,0.402130,0.402130,0.392320,0.392320,0.392320,305873
2013-07-01,0.392320,0.392320,0.392320,0.392320,0.392320,62069
2013-07-02,0.392320,0.392320,0.392320,0.392320,0.392320,6372
2013-07-03,0.392320,0.392320,0.392320,0.392320,0.392320,0
2013-07-04,0.392320,0.392320,0.392320,0.392320,0.392320,0
2013-07-05,0.392320,0.392320,0.392320,0.392320,0.392320,0
2013-07-08,0.411940,0.411940,0.392320,0.392320,0.392320,164152
2013-07-09,0.392320,0.392320,0.392320,0.392320,0.392320,123878
2013-07-10,0.392320,0.392320,0.392320,0.392320,0.392320,50979
2013-07-11,0.392320,0.392320,0.392320,0.392320,0.392320,0
2013-07-12,0.392320,0.392320,0.372700,0.372700,0.372700,173278
2013-07-15,0.372700,0.402130,0.372700,0.402130,0.402130,107105
2013-07-16,0.402130,0.402130,0.392320,0.392320,0.392320,38638
2013-07-17,0.392320,0.392320,0.392320,0.392320,0.392320,0
2013-07-18,0.441360,0.441360,0.441360,0.441360,0.441360,120565
2013-07-19,0.392320,0.392320,0.392320,0.392320,0.392320,12745
2013-07-22,0.392320,0.392320,0.392320,0.392320,0.392320,17843
2013-07-23,0.392320,0.392320,0.392320,0.392320,0.392320,0
2013-07-24,0.392320,0.392320,0.392320,0.392320,0.392320,0
2013-07-25,0.392320,0.392320,0.392320,0.392320,0.392320,0
2013-07-26,0.392320,0.392320,0.392320,0.392320,0.392320,30587
2013-07-29,0.392320,0.392320,0.392320,0.392320,0.392320,0
2013-07-30,0.392320,0.392320,0.392320,0.392320,0.392320,1895
2013-07-31,0.441360,0.441360,0.441360,0.441360,0.441360,1478
2013-08-01,0.402130,0.402130,0.402130,0.402130,0.402130,2039
2013-08-02,0.441360,0.441360,0.441360,0.441360,0.441360,34207
2013-08-05,0.441360,0.441360,0.441360,0.441360,0.441360,0
2013-08-06,0.441360,0.441360,0.441360,0.441360,0.441360,0
2013-08-07,0.441360,0.441360,0.441360,0.441360,0.441360,0
2013-08-08,0.441360,0.441360,0.441360,0.441360,0.441360,0
2013-08-09,0.441360,0.441360,0.421740,0.421740,0.421740,7137
2013-08-12,0.421740,0.421740,0.421740,0.421740,0.421740,0
2013-08-13,0.441360,0.441360,0.441360,0.441360,0.441360,25489
2013-08-14,0.441360,0.441360,0.441360,0.441360,0.441360,0
2013-08-15,0.441360,0.441360,0.441360,0.441360,0.441360,5098
2013-08-16,0.490400,0.490400,0.490400,0.490400,0.490400,101958
2013-08-19,0.441360,0.441360,0.441360,0.441360,0.441360,12745
2013-08-20,0.441360,0.441360,0.441360,0.441360,0.441360,0
2013-08-21,0.460980,0.460980,0.451170,0.451170,0.451170,4442
2013-08-22,0.451170,0.451170,0.451170,0.451170,0.451170,5098
2013-08-23,0.490400,0.490400,0.490400,0.490400,0.490400,2549
2013-08-26,0.490400,0.490400,0.490400,0.490400,0.490400,99409
2013-08-27,0.505110,0.524730,0.505110,0.524730,0.524730,45881
2013-08-28,0.524730,0.524730,0.524730,0.524730,0.524730,0
2013-08-29,0.524730,0.524730,0.524730,0.524730,0.524730,0
2013-08-30,0.500210,0.500210,0.500210,0.500210,0.500210,17078
2013-09-02,0.510020,0.524730,0.510020,0.524730,0.524730,25489
2013-09-03,0.510020,0.510020,0.510020,0.510020,0.510020,275286
2013-09-04,0.500210,0.500210,0.480590,0.480590,0.480590,109859
2013-09-05,0.480590,0.480590,0.480590,0.480590,0.480590,0
2013-09-06,0.480590,0.480590,0.480590,0.480590,0.480590,0
2013-09-09,0.480590,0.480590,0.480590,0.480590,0.480590,0
2013-09-10,0.490400,0.490400,0.490400,0.490400,0.490400,4078
2013-09-11,0.490400,0.490400,0.490400,0.490400,0.490400,0
2013-09-12,0.505110,0.505110,0.490400,0.490400,0.490400,32066
2013-09-13,0.490400,0.490400,0.490400,0.490400,0.490400,0
2013-09-16,0.490400,0.490400,0.490400,0.490400,0.490400,0
2013-09-17,0.500210,0.510020,0.500210,0.510020,0.510020,8921
2013-09-18,0.510020,0.510020,0.510020,0.510020,0.510020,2039
2013-09-19,0.510020,0.510020,0.510020,0.510020,0.510020,0
2013-09-20,0.510020,0.510020,0.510020,0.510020,0.510020,0
2013-09-23,0.510020,0.510020,0.510020,0.510020,0.510020,38234
2013-09-24,0.510020,0.510020,0.510020,0.510020,0.510020,0
2013-09-25,0.510020,0.510020,0.510020,0.510020,0.510020,0
2013-09-26,0.510020,0.510020,0.510020,0.510020,0.510020,2038
2013-09-27,0.510020,0.510020,0.510020,0.510020,0.510020,7647
2013-09-30,0.510020,0.510020,0.510020,0.510020,0.510020,0
2013-10-01,0.510020,0.510020,0.510020,0.510020,0.510020,0
2013-10-02,0.514920,0.514920,0.514920,0.514920,0.514920,30587
2013-10-03,0.514920,0.514920,0.514920,0.514920,0.514920,30587
2013-10-04,0.519820,0.519820,0.519820,0.519820,0.519820,9176
2013-10-07,0.519820,0.519820,0.519820,0.519820,0.519820,0
2013-10-08,0.510020,0.510020,0.510020,0.510020,0.510020,43078
2013-10-09,0.510020,0.510020,0.510020,0.510020,0.510020,0
2013-10-10,0.529630,0.529630,0.529630,0.529630,0.529630,30587
2013-10-11,0.529630,0.529630,0.529630,0.529630,0.529630,0
2013-10-14,0.529630,0.529630,0.529630,0.529630,0.529630,0
2013-10-15,0.519820,0.519820,0.519820,0.519820,0.519820,2549
